kabupaten_kota;gabah_kering_panen;gabah_kering_giling;beras_medium;beras_premium;hama_tikus;wereng_batang_coklat;penggerek_batang_padi;hama_kresek;hama_tungro;hama_blas;dampak_kekeringan;dampak_banjir;periode_update
Blitar;4,281;5,367;8,485;9,513;0;0;0;0.3;0;0.3;0;0;Desember 2021
Kediri;4,588;5,579;8,238;10;260.67;4.69;213.46;170.16;8.5;34.36;0;4;Desember 2021
Malang;4,552;5,409;9,03;9,592;0;0.59;0;0.25;0;0;0;0;Desember 2021
Lumajang;4,525;5,4;10,5;11,5;33;0;0;2.5;0;3.18;0;0;Desember 2021
Jember;4,391;5,26;8,644;10,131;1.9;0;0.24;0.67;0;0.45;0;43;Desember 2021
Banyuwangi;4,607;5,504;8,993;10,5;4.47;0;3.9;3.98;0;0.07;0;0.25;Desember 2021
Bondowoso;4,475;5,475;9,144;9,95;0.57;0;1.35;0;0;0;0;59.5;Desember 2021
Situbondo;4,55;5,628;9,2;10,181;3.28;0;3;4.25;0;0.04;0;80;Desember 2021
Probolinggo;4,623;5,4;8,923;10,903;11.4;0.7;18.8;38.1;0;3.1;0;0;Desember 2021
Pasuruan;4,419;5,327;9,283;9,777;1.2;0;47.8;34.9;1.15;0.65;0;0;Desember 2021
Sidoarjo;4,517;5,267;8,5;9,5;0.5;1.1;7.4;8.8;0;8.56;0;0;Desember 2021
Mojokerto;4,438;5,338;8,569;9,856;0.9;6.63;9.48;6.6;0.75;2;0;0;Desember 2021
Jombang;4,6;5,3;8,5;10;0;0.27;24.05;12.05;3.7;4;0;0;Desember 2021
Nganjuk;4,506;5,25;8;11;1.1;22;12.45;2.9;0.5;0.3;0;24;Desember 2021
Madiun;4,836;5,122;8,608;9,5;10.5;0;11.6;4.15;1.9;0.7;0;0;Desember 2021
Magetan;4,767;5,215;8,23;9,75;1.56;0;7.77;3.6;1.15;0.85;0;0;Desember 2021
Ngawi;5,091;5,663;8,771;11;117.4;0;5.85;4.3;0;0;0;5.5;Desember 2021
Bojonegoro;4,773;5,5;8,35;9,75;5.65;0;0.88;9.29;0;0.3;0;7;Desember 2021
Tuban;4,949;5,675;8,504;10,494;1.5;0;0;0;0;3.4;0;0;Desember 2021
Lamongan;4,434;5,267;8,239;9,775;4.19;0;0.8;0.3;0;0.3;0;2;Desember 2021
Gresik;4,9;5,544;8,75;10,167;13.58;0;0.42;1.81;0;0.92;0;366;Desember 2021
Bangkalan;;5,25;8,5;11,5;3;0;0;0.3;0;0.15;0;135;Desember 2021
Sampang;;4,81;8,13;10,45;37.23;0.42;3.92;2.05;0;1.63;0;27;Desember 2021
Pamekasan;4,023;5,086;7,534;8,047;91.95;1;18.5;7.5;0;14.2;0;331;Desember 2021
Sumenep;;;8,225;;15.85;0;13.9;0;0;2.8;0;0;Desember 2021
Kota Kediri;;;;;138.66;0;19.22;9;0;0.9;0;0;Desember 2021
Kota Blitar;;;;;14.75;0;0.6;3.3;0;0.3;0;0;Desember 2021
Kota Malang;;;;;19.5;0;9;22.7;0;6.3;0;0;Desember 2021
Kota Probolinggo;;;;;73.6;0;0;39.8;0;35.45;0;0;Desember 2021
Kota Pasuruan;;;;;66.5;0;0;6.8;0;2;0;0;Desember 2021
Kota Mojokerto;;;;;22.1;0;0;12.65;0;2.6;0;0;Desember 2021
Kota Madiun;;;;;0;0;1.39;0;0;0;0;0;Desember 2021
Kota Surabaya;;;;;0;0;0;0;0;0;0;0;Desember 2021
Kota Batu;;;;;0;0;1.4;1.7;0;0;0;0;Desember 2021
Pacitan;;5,1;8,01;10,05;0;0;4.3;0;0;0;0;0;Januari 2022
Ponorogo;4,6;5,208;8,2;10;0;0;0;0;0.7;0;0;0;Januari 2022
Trenggalek;4,35;5,067;7,9;8,5;2.1;0;0;0;0;0;0;0;Januari 2022
Tulungagung;4,785;5,405;8,58;9,503;0;0;0;0;0;0;0;1097.45;Januari 2022
Blitar;;5,415;8,438;9,421;0;0;0;0;0;0;0;0;Januari 2022
Kediri;4,75;5,744;8,175;10;0;0.06;0.6;0.3;0;0;0;30;Januari 2022
Malang;4,825;5,742;9,144;9,866;697.94;32.77;228.62;244.55;9.85;95.15;0;0;Januari 2022
Lumajang;4,663;5,308;9,158;10,365;0;0.2;0;0.01;0;0.01;0;2;Januari 2022
Jember;4,4;5,2;8,7;10,3;68.56;0;0;23.85;0;3.24;0;0;Januari 2022
Banyuwangi;4,649;5,548;9,1;10,5;0.75;2.3;0.76;2.46;0;0.68;0;0;Januari 2022
Bondowoso;4,556;5,556;9,2;9,925;5.04;0;2.7;5.33;0;0;0;0;Januari 2022
Situbondo;4,613;5,7;9,238;10,275;3.3;0.12;0.24;1.48;0;0;0;0;Januari 2022
Probolinggo;4,675;;8,948;10,635;13.74;0;1.09;13.89;0;1.59;0;417;Januari 2022
Pasuruan;4,6;5,5;9,6;10,5;7.3;0.7;22.4;30.2;0;3;0;1;Januari 2022
Sidoarjo;4,519;5,967;8,992;10,133;4.15;4.3;52.8;27.6;0.1;5.8;0;0;Januari 2022
Mojokerto;4,6;5,57;8,681;9,924;11.45;10.65;9.4;17.55;0.3;5.4;0;2;Januari 2022
Jombang;4,82;5,38;9,14;10,2;0;8.97;6.4;13.45;0.95;1.95;0;0;Januari 2022
Nganjuk;4,5;5,5;8;10,667;5;0.3;24.7;23.55;2.95;5.15;0;420;Januari 2022
Madiun;4,988;5,421;8,65;9,5;5.8;24.68;13;8.5;0.4;3.4;0;21;Januari 2022
Magetan;;5,593;8,6;10;0.3;1.3;20.1;13.1;13.2;1.3;0;63.5;Januari 2022
Ngawi;;5,569;8,75;11;2.47;0.32;14;4.15;2.5;0.3;0;415;Januari 2022
Bojonegoro;4,875;5,225;8,35;9,75;225.55;0;10.7;6.75;0;0;0;334;Januari 2022
Tuban;4,985;5,954;8,75;10,685;8.01;0.84;0.83;12.59;0.2;0.9;0;0;Januari 2022
Lamongan;4,65;5,55;8,55;9,9;11.32;0;1.92;4.83;0;0;0;0;Januari 2022
Gresik;5,1;5,399;9,191;10,308;39.64;0;1.84;2.1;0;2.72;0;0;Januari 2022
Bangkalan;;5,25;8,5;11,458;23.14;0;3.28;23;0;4.06;0;245;Januari 2022
Sampang;;;8,088;10,729;1.9;0.22;0;0.75;0;0.87;0;82;Januari 2022
Pamekasan;4;5,267;9,175;10,797;11.26;2.22;1.92;4.64;0;1.71;0;474;Januari 2022
Sumenep;;;8,4;;53.75;10.5;102.7;61;0;50.75;0;18;Januari 2022
Kota Kediri;;;;;22.6;4.5;57.65;14.9;0;8;0;0;Januari 2022
Kota Blitar;;;;;190.8;0;55.8;54;0;34.5;0;0;Januari 2022
Kota Malang;;;;;10.85;0.5;3.8;8.4;0;2.45;0;9;Januari 2022
Kota Probolinggo;;;;;29.3;0;16.5;117.05;0;44.2;0;167.75;Januari 2022
Kota Pasuruan;;;;;22.5;10;0;133.75;0;49.65;0;43;Januari 2022
Kota Mojokerto;;;;;37.5;9;0;86.5;0;22.5;0;0;Januari 2022
Kota Madiun;;;;;145.4;0;0.5;107.6;0;48.8;0;0;Januari 2022
Kota Surabaya;;;;;0;0;0;0.67;0;0;0;0;Januari 2022
Kota Batu;;;;;0.78;0;0;0;0;0;0;0;Januari 2022
Pacitan;;5,248;8,375;10;0;0;1.4;0.4;0;0;0;75;Februari 2022
Ponorogo;4,2;5,2;8,256;10;0;0;0;0;0;0;0;0;Februari 2022
Trenggalek;;;;;0;0;0;0.2;0;0;0;0;Februari 2022
Tulungagung;4,587;5,304;8,692;9,565;0.6;0;0;0;0;0;0;0;Februari 2022
Blitar;4,6;5,523;8,465;9,53;1.13;0;0;1.49;0;0;0;2,819.25;Februari 2022
Kediri;4,775;5,775;8,875;10;0;0;0;0;0;0;0;0;Februari 2022
Malang;4,888;5,752;9,156;9,813;0;0;0.3;0;0;0;0;209;Februari 2022
Lumajang;4,499;5,168;8,685;9,793;963.89;91.62;426.73;825.74;20.6;302.93;0;0;Februari 2022
Jember;4,538;5,308;8,733;10,333;  10.00 ;  6.00 ;0;0;0;0;0;218;Februari 2022
Banyuwangi;4,631;5,5;9,017;10,5;  2.38 ;  39.69 ;0;  25.42 ;0;  10.00 ;0;0;Februari 2022
Bondowoso;4,525;5,525;9,275;10,375;  1.72 ;  172.79 ;  0.22 ;  1.81 ;0;  1.87 ;0;0;Februari 2022
Situbondo;4,628;5,7;9;10,025;  19.84 ;  1.83 ;  3.23 ;  3.30 ;0;0;0;0;Februari 2022
Probolinggo;4,578;;8,89;10,14;  2.62 ;  2.58 ;  0.10 ;  6.39 ;0;  0.40 ;0;0;Februari 2022
Pasuruan;4,6;5,5;9,6;10,5;  5.87 ;  10.68 ;  1.57 ;  14.39 ;0;  0.48 ;0;0;Februari 2022
Sidoarjo;4,625;5,963;9,288;10,5;  9.60 ;  36.12 ;  1.10 ;  21.65 ;0;  0.65 ;0;0;Februari 2022
Mojokerto;4,5;5,604;8,73;10,188;  6.55 ;  19.95 ;  15.80 ;  27.95 ;0;  1.00 ;0;0;Februari 2022
Jombang;4,206;5,206;8,49;10,423;  1.90 ;  24.95 ;  6.40 ;  16.75 ;0;  5.35 ;0;0;Februari 2022
Nganjuk;4,6;5,5;8,375;10,5;  1.37 ;  18.65 ;  9.67 ;  9.90 ;  0.25 ;  6.25 ;0;155;Februari 2022
Madiun;4,643;5,35;8,65;9,5;0;  2.10 ;  14.40 ;  22.05 ;0;  0.20 ;0;105;Februari 2022
Magetan;4,675;5,456;8,869;10,325;0;  5.80 ;  4.60 ;  23.40 ;0;  1.20 ;0;9;Februari 2022
Ngawi;4,46;5,4;8,875;11;  0.10 ;0;  10.20 ;  29.95 ;  7.10 ;  0.75 ;0;183.27;Februari 2022
Bojonegoro;4,418;5,5;8,35;9,75;  1.70 ;0;  5.40 ;  6.30 ;  2.45 ;  0.85 ;0;100;Februari 2022
Tuban;4,555;5,493;8,6;10,5;  176.55 ;0;  5.75 ;  14.35 ;0;0;0;3;Februari 2022
Lamongan;;;;;  12.77 ;  0.21 ;  2.26 ;  21.64 ;0;  1.25 ;0;21;Februari 2022
Gresik;;5,137;8,767;9,896;  15.26 ;  0.88 ;  5.14 ;  33.16 ;  1.00 ;  0.84 ;0;0;Februari 2022
Bangkalan;4,08;5,25;8,5;11;  19.90 ;  1.21 ;  1.07 ;  4.05 ;0;  2.50 ;0;9;Februari 2022
Sampang;4,117;5,2;8,085;10,3;  32.51 ;  7.46 ;  1.78 ;  17.55 ;0;  11.72 ;0;0;Februari 2022
Pamekasan;;;9,8;12,2;  0.92 ;  0.24 ;  0.60 ;  0.35 ;0;  0.90 ;0;0;Februari 2022
Sumenep;;;8,325;;  5.36 ;  4.01 ;  0.96 ;  3.21 ;0;  1.32 ;0;119;Februari 2022
Kota Kediri;;;;;  2.50 ;  251.50 ;  40.70 ;  69.70 ;0;  22.65 ;0;1,009.00;Februari 2022
Kota Blitar;;;;;  44.20 ;  129.75 ;  68.75 ;  17.48 ;0;  5.70 ;0;0;Februari 2022
Kota Malang;;;;;  40.58 ;  23.50 ;  208.69 ;  156.55 ;0;  38.00 ;0;0;Februari 2022
Kota Probolinggo;;;;;  3.60 ;0;  11.65 ;  5.35 ;0;  5.50 ;0;0;Februari 2022
Kota Pasuruan;;;;;  14.00 ;0;  5.50 ;  96.80 ;0;  30.80 ;0;0;Februari 2022
Kota Mojokerto;;;;;  5.00 ;  3.54 ;  13.35 ;  65.75 ;0;  12.25 ;0;0;Februari 2022
Kota Madiun;;;;;  24.00 ;  20.51 ;0;  39.10 ;0;  14.50 ;0;0;Februari 2022
Kota Surabaya;;;;;  67.70 ;  7.00 ;  4.50 ;  133.60 ;0;  67.10 ;0;0;Februari 2022
Kota Batu;;;;;  1.00 ;  0.56 ;  0.25 ;  1.85 ;0;0;0;0;Februari 2022
Pacitan;4,733;5,31;8,5;10;  0.50 ;  1.60 ;0;0;0;0;0;0;Maret 2022
Ponorogo;4,275;5,213;8,25;9,891;0;0;0;  1.00 ;0;0;0;0;Maret 2022
Trenggalek;4,131;5,095;8,14;8,8;0;0;  0.55 ;  0.90 ;  0.40 ;  0.15 ;0;0;Maret 2022
Tulungagung;4,553;5,284;8,504;9,447;  0.20 ;  0.40 ;  0.40 ;  0.40 ;  0.40 ;0;0;0;Maret 2022
Blitar;4,437;5,475;8,575;9,682;0;0;0;  0.21 ;0;0;0;0;Maret 2022
Kediri;4,55;5,606;8,806;10;  0.70 ;0;  0.78 ;0;0;  0.28 ;0;2,140.27;Maret 2022
Malang;4,799;5,65;9,15;9,718;0;0;0;0;0;0;0;0;Maret 2022
Lumajang;4,339;5,213;9,086;9,678;0;0;0;0;0;0;0;7;Maret 2022
Jember;4,45;5,35;8,797;10,403;  530.90 ;  793.51 ;  445.37 ;  892.26 ;  11.60 ;  244.46 ;0;0;Maret 2022
Banyuwangi;4,545;5,437;9;10,5;0;0;0;0;0;0;0;0;Maret 2022
Bondowoso;4,346;5,272;8,727;10,425;0;  44.19 ;0;  3.37 ;0;  2.50 ;0;0;Maret 2022
Situbondo;4,423;5,515;9,005;10,055;  0.76 ;  10.55 ;  0.13 ;  5.01 ;0;0;0;0;Maret 2022
Probolinggo;4,434;5,4;8,885;9,856;  5.27 ;  4.29 ;  4.38 ;  6.08 ;0;0;0;0;Maret 2022
Pasuruan;4,395;5,4;9,15;10;  6.04 ;  7.15 ;  0.34 ;  2.69 ;0;  0.84 ;0;169;Maret 2022
Sidoarjo;4,391;5,598;9;10,469;  4.32 ;  7.89 ;  1.43 ;  5.81 ;0;  2.34 ;0;0;Maret 2022
Mojokerto;4,367;5,467;8,721;9,929;  13.80 ;  43.00 ;  16.75 ;  51.35 ;0;  2.40 ;0;0;Maret 2022
Jombang;4,303;5,43;8,585;10,022;0;  14.95 ;  21.60 ;  43.25 ;0;  1.50 ;0;0;Maret 2022
Nganjuk;4,15;5,2;8,5;10,5;  0.90 ;  20.80 ;  4.30 ;  7.50 ;  0.70 ;  4.30 ;0;0;Maret 2022
Madiun;4,431;5,35;8,65;9,5;  0.75 ;  8.45 ;  7.40 ;  13.57 ;0;  3.00 ;0;0;Maret 2022
Magetan;4,333;5,157;8,805;10;0;  1.00 ;0;  6.00 ;0;0;0;21;Maret 2022
Ngawi;4,41;5,423;8,828;11;0;  0.20 ;  5.05 ;  7.45 ;  0.70 ;  0.40 ;0;7.5;Maret 2022
Bojonegoro;4,066;5,5;8,375;9,75;0;0;  25.70 ;  50.80 ;  1.00 ;  0.80 ;0;43;Maret 2022
Tuban;4,335;5,309;8,581;10,5;  5.45 ;  0.90 ;  15.79 ;  12.45 ;  7.15 ;  1.00 ;0;361;Maret 2022
Lamongan;;;;;  66.70 ;0;  10.76 ;  24.35 ;0;0;0;0;Maret 2022
Gresik;4,282;5,373;8,607;9,66;  4.99 ;  0.42 ;  4.51 ;  16.34 ;0;  3.53 ;0;1;Maret 2022
Bangkalan;4,15;5,255;8,5;11;  22.18 ;  6.95 ;  1.78 ;  2.50 ;0;  2.48 ;0;0;Maret 2022
Sampang;4,122;5,174;7,894;9,989;  8.10 ;  1.29 ;  0.20 ;  3.88 ;0;  0.10 ;0;29;Maret 2022
Pamekasan;;;8,346;10,4;  2.55 ;  11.81 ;  1.89 ;  30.75 ;0;  17.89 ;0;0;Maret 2022
Sumenep;;;8,31;;0;  2.20 ;0;0;0;0;0;0;Maret 2022
Kota Kediri;;;;;  4.01 ;  29.00 ;  2.64 ;  1.80 ;0;  0.50 ;0;0;Maret 2022
Kota Blitar;;;;;0;  23.45 ;  31.25 ;  31.00 ;0;  32.25 ;0;2.5;Maret 2022
Kota Malang;;;;;  1.20 ;0;  6.70 ;  23.50 ;0;  10.43 ;0;0;Maret 2022
Kota Probolinggo;;;;;  18.56 ;  0.10 ;  10.50 ;0;0;  4.65 ;0;142;Maret 2022
Kota Pasuruan;;;;;  5.95 ;0;  12.40 ;  1.70 ;0;  7.70 ;0;23;Maret 2022
Kota Mojokerto;;;;;  2.00 ;0;0;  29.00 ;0;  7.50 ;0;0;Maret 2022
Kota Madiun;;;;;0;0;  18.45 ;  29.05 ;0;  9.75 ;0;0;Maret 2022
Kota Surabaya;;;;;0;0;0;  6.20 ;0;  1.50 ;0;0;Maret 2022
Kota Batu;;;;;0;0;  14.70 ;  9.90 ;0;  32.40 ;0;0;Maret 2022
Pacitan;;5,238;8,5;10;  0.35 ;0;  0.28 ;  0.98 ;0;0;0;0;Apr-22
Ponorogo;4,288;5,217;8,2;9,75;  0.77 ;  2.04 ;0;0;0;0;0;0;Apr-22
Trenggalek;4,017;5;8,133;8,733;  0.50 ;0;  0.90 ;  1.50 ;0;0;0;0;Apr-22
Tulungagung;4,275;5,153;8,49;9,452;0;0;  5.40 ;  1.00 ;0;0;0;0;Apr-22
Blitar;4,373;5,27;8,617;9,858;0;0;  0.40 ;  0.40 ;  1.20 ;0;0;0;Apr-22
Kediri;4,138;5,138;8,538;8,875;0;0;0;  1.05 ;0;  0.28 ;0;0;Apr-22
Malang;4,704;5,588;8,431;9,856;0;0;  0.78 ;  0.50 ;0;0;0;806;Apr-22
Lumajang;4,115;4,898;8,868;9,4;0;0;0;0;0;0;0;0;Apr-22
Jember;4,258;5,259;8,743;10,495;0;0;  0.30 ;0;0;0;0;0;Apr-22
Banyuwangi;4,337;5,25;8,913;10,5;  175.15 ;  240.63 ;  226.71 ;  430.73 ;  10.75 ;  150.04 ;17;4.2;Apr-22
Bondowoso;4,184;5,19;9,041;10,513;  0.30 ;0;0;0;0;0;0;0;Apr-22
Situbondo;4,233;5,3;8,932;10,124;0;  3.28 ;0;  1.50 ;0;0;0;0;Apr-22
Probolinggo;4,3;5,375;8,969;9,913;  3.50 ;  0.20 ;0;  1.34 ;0;  0.53 ;0;0;Apr-22
Pasuruan;4,494;5,5;8,55;10;  4.63 ;  0.30 ;  5.70 ;  10.24 ;0;  1.45 ;0;0;Apr-22
Sidoarjo;4,082;5,361;8,713;10,451;  1.95 ;  2.94 ;  1.24 ;  6.63 ;0;0;0;0;Apr-22
Mojokerto;4,222;5,325;8,831;10,1;  2.90 ;  5.12 ;  0.77 ;  5.22 ;0;  1.20 ;0;0;Apr-22
Jombang;4,325;5,525;8,4;9,842;  24.85 ;  20.55 ;  21.75 ;  45.25 ;0;  1.30 ;0;0;Apr-22
Nganjuk;4,044;4,95;8,917;10,5;  3.15 ;  21.95 ;  34.40 ;  20.85 ;0;  5.30 ;0;0;Apr-22
Madiun;4,485;5,358;8,656;9,501;  1.80 ;  2.85 ;  8.30 ;  9.75 ;  1.20 ;  6.20 ;0;0;Apr-22
Magetan;4,46;5,2;8,81;10;0;  2.35 ;  9.75 ;  8.80 ;  0.15 ;  0.88 ;0;0;Apr-22
Ngawi;4,353;5,428;8,775;10,958;0;0;  27.40 ;  18.40 ;  2.10 ;  2.10 ;0;0;Apr-22
Bojonegoro;4,281;5,5;8,45;9,75;0;  0.89 ;  13.70 ;  4.80 ;  0.50 ;  0.20 ;0;0;Apr-22
Tuban;4,45;5,369;8,5;10,469;0;0;  22.10 ;  40.35 ;  5.70 ;  10.80 ;0;0;Apr-22
Lamongan;;;;;  0.90 ;  0.80 ;  11.35 ;  13.80 ;  3.40 ;  0.70 ;0;12;Apr-22
Gresik;4,229;5,387;8,706;9,86;  21.95 ;0;  15.60 ;  27.50 ;0;0;0;0;Apr-22
Bangkalan;4,233;5,225;8,281;10,656;  1.54 ;  6.44 ;  5.99 ;  15.66 ;  1.30 ;  1.20 ;0;0;Apr-22
Sampang;4,2;5,19;7,892;9,841;  0.50 ;  38.56 ;  1.50 ;  10.50 ;0;0;0;0;Apr-22
Pamekasan;4,219;4,968;8,75;11;  24.91 ;0;  0.50 ;  1.55 ;0;  0.60 ;0;0;Apr-22
Sumenep;;;11,613;;  22.19 ;  3.67 ;  7.18 ;  21.25 ;0;  8.79 ;0;90;Apr-22
Kota Kediri;;;;;  0.50 ;  0.55 ;0;0;0;  0.40 ;0;0;Apr-22
Kota Blitar;;;;;  14.46 ;  2.49 ;  1.43 ;  0.76 ;0;  0.65 ;0;154;Apr-22
Kota Malang;;;;;  33.20 ;  7.00 ;  29.65 ;  1.10 ;0;  2.00 ;0;0;Apr-22
Kota Probolinggo;;;;;  14.40 ;0;  15.20 ;  3.50 ;0;  20.35 ;0;0;Apr-22
Kota Pasuruan;;;;;  35.27 ;0;  54.80 ;  9.20 ;0;  9.29 ;0;0;Apr-22
Kota Mojokerto;;;;;  16.25 ;0;  9.40 ;  11.05 ;0;  6.20 ;0;0;Apr-22
Kota Madiun;;;;;  14.00 ;0;  1.25 ;  12.30 ;0;  11.00 ;0;0;Apr-22
Kota Surabaya;;;;;  2.00 ;0;  5.00 ;  23.60 ;0;  17.35 ;0;0;Apr-22
Kota Batu;;;;;0;0;  0.50 ;  0.70 ;0;  1.90 ;0;0;Apr-22
Pacitan;;5,2;8,5;10;  0.20 ;0;  5.00 ;  11.65 ;0;  15.65 ;0;0;Mei 2022
Ponorogo;4,25;5,058;8,411;9,767;  0.63 ;0;  0.49 ;  0.50 ;0;0;0;0;Mei 2022
Trenggalek;4,2;5,1;8,2;8,7;0;  1.01 ;0;0;0;0;0;0;Mei 2022
Tulungagung;4,248;5,061;8,438;9,226;  0.20 ;0;  1.00 ;0;0;  0.20 ;0;0;Mei 2022
Blitar;4,201;5,033;8,608;9,74;0;0;0;0;0;0;0;0;Mei 2022
Kediri;4,092;5,1;8,433;10;0;0;  0.30 ;  1.20 ;  1.20 ;0;0;0;Mei 2022
Malang;4,6;5,5;9,175;9,8;  0.21 ;0;0;  0.98 ;0;0;0;0;Mei 2022
Lumajang;4,275;4,929;8,604;9,689;  0.50 ;0;  0.50 ;0;0;0;17;260.2;Mei 2022
Jember;4,312;5,205;8,645;10,327;0;0;0;0;0;0;0;0;Mei 2022
Banyuwangi;4,288;5,14;8,9;10,3;0;0;0;  0.70 ;0;0;0;0;Mei 2022
Bondowoso;4,284;5,204;9,073;10,426;  246.89 ;  120.95 ;  311.75 ;  340.63 ;  15.55 ;  126.24 ;0;0;Mei 2022
Situbondo;4,233;5,3;9,033;10,233;  0.71 ;0;  0.03 ;0;0;  0.03 ;0;0;Mei 2022
Probolinggo;4,213;5,283;8,942;9,942;0;0;  6.00 ;  32.69 ;0;  0.98 ;0;0;Mei 2022
Pasuruan;4,7;5,433;8,958;10;  1.73 ;  1.97 ;  0.12 ;  1.40 ;0;  2.97 ;0;0;Mei 2022
Sidoarjo;4,279;5,213;8,633;10,5;  3.97 ;0;  3.67 ;  5.08 ;0;  0.85 ;0;0;Mei 2022
Mojokerto;4,3;5,067;8,833;9,933;  0.62 ;  2.33 ;  0.49 ;  1.08 ;0;0;0;0;Mei 2022
Jombang;4,3;5,06;8,313;9,8;  3.26 ;  2.16 ;  0.35 ;  8.43 ;0;  0.88 ;0;110;Mei 2022
Nganjuk;;4,95;9;10,5;  14.51 ;  7.65 ;  15.00 ;  31.65 ;0;  0.80 ;0;0;Mei 2022
Madiun;4,794;5,344;8,644;9,5;  1.00 ;  13.40 ;  20.45 ;  22.25 ;0;  3.80 ;0;0;Mei 2022
Magetan;;5,022;8,611;10;  3.00 ;  5.15 ;  6.37 ;  8.65 ;  2.30 ;  6.00 ;0;0;Mei 2022
Ngawi;;5,047;8,722;10,944;0;  1.25 ;  7.80 ;  4.00 ;  0.30 ;  1.50 ;0;174.4;Mei 2022
Bojonegoro;;5,433;8,45;9,75;  0.35 ;0;  12.00 ;  9.70 ;  7.50 ;  6.10 ;0;5;Mei 2022
Tuban;4,839;5,53;8,5;10,467;0;  3.10 ;  0.60 ;  7.20 ;  1.40 ;  0.30 ;0;0;Mei 2022
Lamongan;;;;;0;0;  26.65 ;  24.65 ;  2.60 ;  11.00 ;0;0;Mei 2022
Gresik;4,308;5,323;8,678;9,854;  1.85 ;  3.40 ;  4.30 ;  3.00 ;  3.20 ;  0.20 ;0;0;Mei 2022
Bangkalan;;5,2;8;10,5;  55.25 ;0;  12.85 ;  24.40 ;0;  0.20 ;0;0;Mei 2022
Sampang;;5,15;8,389;10,417;  0.70 ;  12.18 ;  2.41 ;  9.10 ;  2.90 ;  0.64 ;0;0;Mei 2022
Pamekasan;;;8;12;0;  10.04 ;  0.50 ;  0.20 ;0;0;0;0;Mei 2022
Sumenep;;;8;;  39.05 ;  2.86 ;  7.14 ;  6.77 ;0;  2.10 ;0;0;Mei 2022
Kota Kediri;;;;;  18.79 ;  11.23 ;  5.21 ;  11.35 ;0;  4.16 ;0;0;Mei 2022
Kota Blitar;;;;;  4.00 ;0;0;0;0;0;0;0;Mei 2022
Kota Malang;;;;;  27.77 ;  7.03 ;  1.73 ;  1.56 ;0;  1.40 ;0;0;Mei 2022
Kota Probolinggo;;;;;  7.00 ;  0.40 ;  47.75 ;  82.80 ;0;  26.25 ;0;2;Mei 2022
Kota Pasuruan;;;;;  17.05 ;0;  31.10 ;  19.50 ;0;  14.70 ;0;0;Mei 2022
Kota Mojokerto;;;;;  54.54 ;  0.05 ;  108.38 ;  4.93 ;0;  56.80 ;0;0;Mei 2022
Kota Madiun;;;;;  15.40 ;  0.04 ;  18.70 ;  14.90 ;0;  9.20 ;0;0;Mei 2022
Kota Surabaya;;;;;  14.00 ;0;  6.00 ;  19.80 ;0;  27.50 ;0;0;Mei 2022
Kota Batu;;;;;  17.00 ;0;  10.75 ;  37.55 ;0;  33.00 ;0;0;Mei 2022
Pacitan;4,5;5,163;8,521;9,986;  8.00 ;  10.00 ;0;  3.10 ;0;  11.80 ;0;0;Juni 2022
Ponorogo;4,2;5,1;8,475;9,8;  42.70 ;0;  4.00 ;  51.80 ;0;  44.40 ;0;0;Juni 2022
Trenggalek;4;5;7,8;8,2;0;0;0;  1.09 ;0;0;0;0;Juni 2022
Tulungagung;4,067;4,875;8,262;8,947;0;0;0;0;0;0;0;0;Juni 2022
Blitar;3,998;4,865;8,31;9,471;0;0;0;0;0;  0.20 ;0;0;Juni 2022
Kediri;4,1;5,1;8,4;10;0;0;  2.00 ;  1.00 ;0;0;0;0;Juni 2022
Malang;4,488;5,338;9,1;9,75;0;0;  0.40 ;  0.70 ;  0.60 ;0;0;0;Juni 2022
Lumajang;4,19;4,969;8,865;9,967;  1.18 ;0;  0.25 ;  31.83 ;0;0;0;0;Juni 2022
Jember;4,3;5,25;8,623;10,365;  0.50 ;  1.00 ;  0.25 ;0;0;0;0;291.4;Juni 2022
Banyuwangi;4,291;5,2;8,875;10,15;0;0;0;0;0;0;0;0;Juni 2022
Bondowoso;4,287;5,229;8,696;10,266;0;0;0;  1.50 ;0;0;0;17;Juni 2022
Situbondo;4,228;5,3;8,945;10,075;  353.93 ;  95.24 ;  363.25 ;  483.66 ;  20.80 ;  267.76 ;0;6;Juni 2022
Probolinggo;4,2;5,2;8,881;9,813;  1.00 ;0;0;0;0;0;0;0;Juni 2022
Pasuruan;4,375;5,113;8,775;9,7;  2.50 ;  3.16 ;0;  1.85 ;0;  11.89 ;0;0;Juni 2022
Sidoarjo;4,269;5,312;8,926;10,275;  1.55 ;  2.89 ;  0.10 ;  0.94 ;0;  1.62 ;0;0;Juni 2022
Mojokerto;4,311;5,311;8,772;9,95;  18.19 ;  0.12 ;  2.10 ;  2.17 ;0;  1.08 ;0;0;Juni 2022
Jombang;4,255;5,27;8,463;9,955;  2.70 ;  0.17 ;  0.30 ;  1.23 ;0;  0.69 ;0;8.5;Juni 2022
Nganjuk;4,133;4,917;9;10,5;  4.49 ;  14.32 ;  0.45 ;  12.10 ;0;  2.82 ;0;0;Juni 2022
Madiun;4,586;5,183;8,511;9,5;  13.10 ;  9.40 ;  9.55 ;  32.45 ;0;  1.10 ;0;0;Juni 2022
Magetan;4,36;4,834;8,5;10;  2.90 ;  49.55 ;  11.65 ;  29.85 ;0;0;0;0;Juni 2022
